,0
0,8146.0859375
1,7658.654296875
2,9710.0107421875
3,6766.79345703125
4,11079.009765625
5,11543.291015625
6,6402.21728515625
7,4639.30419921875
8,1437.403564453125
9,9368.7919921875
10,3983.2001953125
11,3494.4169921875
12,2908.1796875
13,5783.29443359375
14,3904.4248046875
15,4314.876953125
16,3580.06494140625
17,6945.2666015625
18,3320.8701171875
19,4798.623046875
20,2176.361328125
21,7196.7607421875
22,8320.1787109375
23,4027.705322265625
24,5474.2373046875
25,3966.23486328125
26,6163.943359375
27,3759.37353515625
28,7716.7666015625
29,4950.1796875
30,3646.2373046875
31,3741.2236328125
32,11479.55078125
33,4199.9892578125
34,8296.5498046875
35,7172.95947265625
36,3951.749755859375
37,2558.435302734375
38,4674.88671875
39,3312.65869140625
40,3549.0810546875
41,5731.4658203125
42,3529.882568359375
43,9873.6064453125
44,8485.78125
45,2792.6484375
46,11329.9462890625
47,6920.3740234375
48,6883.654296875
49,3326.38037109375
50,8198.162109375
51,3279.400390625
52,4909.798828125
53,5132.5029296875
54,5866.5634765625
55,3262.51416015625
56,4356.6083984375
57,7116.9541015625
58,5184.9658203125
59,3638.64794921875
60,9755.171875
61,10756.091796875
62,4195.9072265625
63,5221.400390625
64,8378.7841796875
65,10110.49609375
66,11013.1171875
67,4204.1904296875
68,3148.230712890625
69,9490.64453125
70,4159.5888671875
71,3542.40087890625
72,7446.38671875
73,3902.524658203125
74,6590.16650390625
75,10906.0859375
76,8920.876953125
77,4148.85888671875
78,2508.257568359375
79,10693.2685546875
80,7113.98583984375
81,7953.7255859375
82,5596.8427734375
83,4737.0419921875
84,9364.318359375
85,3372.8349609375
86,3460.4384765625
87,7694.947265625
88,8197.1318359375
89,3893.736328125
90,5733.8369140625
91,3644.5263671875
92,4605.068359375
93,4254.0888671875
94,11220.7744140625
95,4266.140625
96,10679.55859375
97,9661.5458984375
98,4369.90087890625
99,7443.55859375
100,5036.4228515625
101,6554.044921875
102,8694.6162109375
103,4499.0390625
104,5091.94873046875
105,9903.8330078125
106,2888.919921875
107,8732.18359375
108,3500.45849609375
109,8969.0302734375
110,5645.173828125
111,3791.810791015625
112,9542.162109375
113,11132.833984375
114,3864.11865234375
115,3035.7392578125
116,3660.37744140625
117,4346.4326171875
118,3423.80908203125
119,7847.6298828125
120,1419.14794921875
121,4505.23974609375
122,10471.39453125
123,4810.50830078125
124,8216.443359375
125,3773.755859375
126,10008.232421875
127,4110.41796875
128,9402.841796875
129,1207.6053466796875
130,4270.52294921875
131,3976.952880859375
132,3484.79541015625
133,8944.08203125
