,accuracy,ECE
0,0.0,0.021689000953243918
1,0.0,0.021689000953243918
2,0.0,0.021689000953243918
3,0.0,0.021689000953243918
4,0.0,0.021689000953243918
5,0.0,0.021689000953243918
6,0.0,0.021689000953243918
7,0.0,0.021689000953243918
8,0.45454504132268975,0.021689000953243918
9,0.59999970000015,0.021689000953243918
10,0.5624999296875087,0.021689000953243918
11,0.5735293274221577,0.021689000953243918
12,0.5384614694280168,0.021689000953243918
13,0.566264992016266,0.021689000953243918
14,0.5681817536157098,0.021689000953243918
15,0.6555554827160575,0.021689000953243918
16,0.6470587691547253,0.021689000953243918
17,0.7454545002754848,0.021689000953243918
18,0.7793103179548166,0.021689000953243918
19,0.9944792048021757,0.021689000953243918
