,accuracy,ECE
0,0.0,0.02015400064938399
1,0.0,0.02015400064938399
2,0.0,0.02015400064938399
3,0.0,0.02015400064938399
4,0.0,0.02015400064938399
5,0.0,0.02015400064938399
6,0.2727270247936138,0.02015400064938399
7,0.3333331944445023,0.02015400064938399
8,0.44444434567903424,0.02015400064938399
9,0.5238094739229072,0.02015400064938399
10,0.5209302083288275,0.02015400064938399
11,0.5685278899224421,0.02015400064938399
12,0.6639999734400011,0.02015400064938399
13,0.6986899258214007,0.02015400064938399
14,0.702508935393945,0.02015400064938399
15,0.743661950882762,0.02015400064938399
16,0.7949308572596577,0.02015400064938399
17,0.8455172297170037,0.02015400064938399
18,0.9164866744673386,0.02015400064938399
19,0.9950807842333499,0.02015400064938399
