,accuracy,ECE
0,0.0,0.08726599983093601
1,0.0,0.08726599983093601
2,0.0,0.08726599983093601
3,0.0,0.08726599983093601
4,0.0,0.08726599983093601
5,0.46153810650914884,0.08726599983093601
6,0.3913041776938358,0.08726599983093601
7,0.40816318200751384,0.08726599983093601
8,0.43877546543107493,0.08726599983093601
9,0.4585635105766016,0.08726599983093601
10,0.5312499762834832,0.08726599983093601
11,0.5639810159250703,0.08726599983093601
12,0.5661156790861289,0.08726599983093601
13,0.6608391377328974,0.08726599983093601
14,0.674937948512706,0.08726599983093601
15,0.7603993217903607,0.08726599983093601
16,0.8578643516748604,0.08726599983093601
17,0.985699152140768,0.08726599983093601
18,0.9958133966710465,0.08726599983093601
19,0.0,0.08726599983093601
