,accuracy,ECE
0,0.0,0.021456001394175975
1,0.0,0.021456001394175975
2,0.0,0.021456001394175975
3,0.0,0.021456001394175975
4,0.0,0.021456001394175975
5,0.0,0.021456001394175975
6,0.49999750001249993,0.021456001394175975
7,0.24999968750039064,0.021456001394175975
8,0.4230767603550922,0.021456001394175975
9,0.36111101080249697,0.021456001394175975
10,0.49152538207412017,0.021456001394175975
11,0.5535713791454125,0.021456001394175975
12,0.6076922609467491,0.021456001394175975
13,0.6375838498265872,0.021456001394175975
14,0.6638654904314714,0.021456001394175975
15,0.6235954705845241,0.021456001394175975
16,0.7897195892654397,0.021456001394175975
17,0.8006042054198126,0.021456001394175975
18,0.8481973273586846,0.021456001394175975
19,0.9946930278887215,0.021456001394175975
