,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.45454504132268975
9,0.59999970000015
10,0.5624999296875087
11,0.5735293274221577
12,0.5384614694280168
13,0.566264992016266
14,0.5681817536157098
15,0.6555554827160575
16,0.6470587691547253
17,0.7454545002754848
18,0.7793103179548166
19,0.9944792048021757
